--- Terminal on /dev/cu.usbmodem2101 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
15->16 dist=3
503835,0,77,47,948,21428,20,5189,5643,2.000000,21428
503836,0,86,49,987,21428,20,5189,5875,2.000000,21428
503837,0,69,51,1027,21428,20,5189,6118,2.000000,21428
503838,0,66,53,1066,21428,20,5189,6350,2.000000,21428
503839,0,68,55,1103,21428,20,5189,6568,2.000000,21428
BOUNDARY_FLICKER: arm0 frame=503841 angle=1263 pat=6->7 dist=3
503840,0,127,57,1143,21428,20,5189,6807,2.000000,21428
503841,0,68,59,1193,21428,20,5189,7104,2.000000,21428
503842,0,66,61,1232,21428,20,5189,7336,2.000000,21428
503843,0,70,63,1270,21428,20,5189,7561,2.000000,21428
503844,0,66,65,1311,21428,20,5189,7808,2.000000,21428
503845,0,73,67,1350,21428,20,5189,8036,2.000000,21428
503846,0,65,69,1390,21428,20,5189,8275,2.000000,21428
503847,0,68,71,1427,21428,20,5189,8498,2.000000,21428
503848,0,74,73,1468,21428,20,5189,8740,2.000000,21428
503849,0,69,75,1509,21428,20,5189,8984,2.000000,21428
503850,0,65,77,1549,21428,20,5189,9220,2.000000,21428
503851,0,70,79,1587,21428,20,5189,9451,2.000000,21428
503852,0,67,81,1629,21428,20,5189,9700,2.000000,21428
503853,0,78,83,1668,21428,20,5189,9934,2.000000,21428
503854,0,67,85,1710,21428,20,5189,10182,2.000000,21428
503855,0,69,87,1749,21428,20,5189,10414,2.000000,21428
503856,0,67,89,1790,21428,20,5189,10659,2.000000,21428
503857,0,85,91,1828,21428,20,5189,10882,2.000000,21428
503858,0,65,93,1870,21428,20,5189,11133,2.000000,21428
503859,0,68,95,1911,21428,20,5189,11380,2.000000,21428
503860,0,67,97,1952,21428,20,5189,11619,2.000000,21428
503861,0,85,99,1990,21428,20,5189,11847,2.000000,21428
503862,0,75,101,2034,21428,20,5189,12110,2.000000,21428
503863,0,73,103,2075,21428,20,5189,12352,2.000000,21428
503864,0,65,105,2116,21428,20,5189,12596,2.000000,21428
503865,0,85,107,2154,21428,20,5189,12826,2.000000,21428
503866,0,67,109,2199,21428,20,5189,13092,2.000000,21428
503867,0,79,111,2237,21428,20,5189,13319,2.000000,21428
503868,0,65,113,2279,21428,20,5189,13571,2.000000,21428
503869,0,71,116,2320,21428,20,5189,13813,2.000000,21428
503870,0,66,118,2362,21428,20,5189,14063,2.000000,21428
BOUNDARY_FLICKER: arm0 frame=503872 angle=2521 pat=13->14 dist=1
503871,0,177,120,2401,21428,20,5189,14297,2.000000,21428
BOUNDARY_FLICKER: arm2 frame=503873 angle=2700 pat=14->15 dist=0
503872,0,179,123,2460,21428,20,5189,14644,2.000000,21428
503873,0,67,125,2518,21428,20,5189,14988,2.000000,21428
503874,0,82,127,2555,21428,20,5189,15209,2.000000,21428
503875,0,66,129,2594,21428,20,5189,15443,2.000000,21428
503876,0,66,131,2636,21428,20,5189,15691,2.000000,21428
FLICKER@288: arm2 frame=503878 angle=2916 pat=15->16 dist=36
503877,0,136,133,2676,21428,20,5189,15931,2.000000,21428
503878,0,65,136,2726,21428,20,5189,16230,2.000000,21428
FLICKER@288: arm0 frame=503880 angle=2886 pat=15->16 dist=6
503879,0,136,138,2766,21428,20,5189,16465,2.000000,21428
503880,0,66,140,2817,21428,20,5189,16773,2.000000,21428
503881,0,73,142,2857,21428,20,5189,17007,2.000000,21428
FLICKER@288: arm1 frame=503883 angle=2899 pat=15->16 dist=19
503882,0,130,144,2899,21428,20,5189,17261,2.000000,21428
503883,0,69,147,2949,21428,20,5189,17554,2.000000,21428
503884,0,75,149,2990,21428,20,5189,17803,2.000000,21428
503885,0,72,151,3033,21428,20,5189,18057,2.000000,21428
503886,0,65,153,3073,21428,20,5189,18296,2.000000,21428
503887,0,76,155,3113,21428,20,5189,18530,2.000000,21428
503888,0,71,157,3155,21428,20,5189,18785,2.000000,21428
503889,0,69,159,3195,21428,20,5189,19020,2.000000,21428
503890,0,66,161,3238,21428,20,5189,19274,2.000000,21428
503891,0,70,163,3277,21428,20,5189,19506,2.000000,21428
503892,0,66,165,3318,21428,20,5189,19754,2.000000,21428
503893,0,76,167,3358,21428,20,5189,19993,2.000000,21428
503894,0,66,169,3399,21428,20,5189,20236,2.000000,21428
503895,0,70,171,3438,21428,20,5189,20469,2.000000,21428
BOUNDARY_FLICKER: arm0 frame=503897 angle=1 pat=19->0 dist=1
503896,0,127,174,3481,21428,20,5189,20724,2.000000,21428
503897,0,85,176,3529,21428,20,5189,21011,2.000000,21428
503898,0,65,178,3572,21428,20,5189,21266,2.000000,21428
503899,0,73,0,13,21428,20,5190,82,2.000000,21428
503900,0,69,2,54,21428,20,5190,326,2.000000,21428
503901,0,73,4,94,21428,20,5190,562,2.000000,21428
503902,0,66,6,133,21428,20,5190,796,2.000000,21428
503903,0,72,8,171,21428,20,5190,1022,2.000000,21428
503904,0,66,10,214,21428,20,5190,1276,2.000000,21428
503905,0,72,12,254,21428,20,5190,1516,2.000000,21428
503906,0,66,14,294,21428,20,5190,1755,2.000000,21428
503907,0,69,16,333,21428,20,5190,1984,2.000000,21428
503908,0,66,18,373,21428,20,5190,2221,2.000000,21428
503909,0,86,20,411,21428,20,5190,2447,2.000000,21428
503910,0,65,22,454,21428,20,5190,2707,2.000000,21428
503911,0,80,24,492,21428,20,5190,2933,2.000000,21428
503912,0,66,26,534,21428,20,5190,3181,2.000000,21428
503913,0,83,28,572,21428,20,5190,3408,2.000000,21428
503914,0,70,30,616,21428,20,5190,3668,2.000000,21428
503915,0,71,32,655,21428,20,5190,3900,2.000000,21428
503916,0,73,34,695,21428,20,5190,4137,2.000000,21428
503917,0,71,36,736,21428,20,5190,4386,2.000000,21428
503918,0,66,38,778,21428,20,5190,4631,2.000000,21428
503919,0,69,40,816,21428,20,5190,4861,2.000000,21428
